Name,Comment,Time,Likes,Reply Count,Comments
Nitesh Tiwari,"Sir i was planning to do PG in Data science its good to do from Simplilearn 
i got call and the were telling 37k its good or not to do course from Simplilearn",2022-01-21T14:19:42Z,0,12,Question
S D,@Nitesh Tiwari is it in mumbai ? location? and course fees?,2022-02-24T15:13:36Z,0,,Question
Nitesh Tiwari,@S D no i have recently joined the class,2022-02-24T15:04:24Z,0,,
S D,@Nitesh Tiwari so you got placements??,2022-02-24T14:50:33Z,0,,Q
S D,@Nitesh Tiwari fees?,2022-02-23T15:26:36Z,0,,
Nitesh Tiwari,@S D IT vedant its 1 years course with 100% placement,2022-02-23T15:21:58Z,0,,
S D,@Nitesh Tiwari btw thnks for answering,2022-02-23T15:17:09Z,0,,
S D,@Nitesh Tiwari can u name that ? and also how is couse and also how is placement ?,2022-02-23T15:16:56Z,0,,
Nitesh Tiwari,@S D i just took  another institute training and currently doing ms in  Data Science,2022-02-23T14:46:18Z,0,,
S D,@Harisankar S what you done then??,2022-02-23T14:40:21Z,0,,
S D,@Nitesh Tiwari further what you are doing? I am also at same position.what to do next if not simplolearn then what ? please answer me,2022-02-23T14:40:08Z,0,,
Nitesh Tiwari,@Harisankar S i have reject his offer,2022-01-22T12:36:28Z,0,,
Harisankar S,"Same happened for me, what is your decision??",2022-01-22T12:30:54Z,1,,
M_Technical,KOi authenticate nahi he,2022-01-19T20:44:22Z,0,0,Suggestion
Saikat Dutta,"sir, avi to simplilearn walo ne 100% job guarantee or money back program  start kar diya ha, uske bare me kya rau ha? dataisgood, dataTrained or simplilearn ye 3 me se konsa best rahega? mereko sikhna v ha or job guarantee v chaiye.. PLease bataiye/",2022-01-11T14:22:06Z,0,0,Question
Ashwin Patel,"Sir Excel R ka review dijiye na  ,pls pls pls",2022-01-07T21:25:17Z,0,0,Question
sumit bhatnagar,"jai shri mahakaal ek no.. bhai
Thank you",2022-01-06T17:15:10Z,1,0,Appreciated
shubham,Sir how I can I contact you please update,2022-01-05T17:18:54Z,0,0,Question
Ismail,They will not provide any interview?,2022-01-03T14:55:00Z,0,0,Suggestion
Ismail,"Mai financially Itna problem me nai hoon, but Aap ye kah rahe ho k simplilearn se course karega usko job assurance nai hai?",2022-01-03T14:54:22Z,0,0,Suggestion
arphaxad,nice,2021-12-30T11:05:10Z,0,0,Appreciated
Abhijeet Kumar,"They started their job guarantee program, please review it asap",2021-12-26T03:08:23Z,2,0,Help
Vishnu A,Should I join the course they provided?? Or do u have any suggestions for entry BA,2021-12-24T00:45:56Z,0,1,Question
Data Science Career Coach,No as per me,2021-12-24T07:59:18Z,0,,Suggestion
charan dabbdi,"Hi Sir, Simplilearn has brought  DATA SCIENCE 100℅ JOB GUARANTEE BOOTCAMP , is it worth joining?",2021-12-20T07:44:48Z,0,1,Question
Data Science Career Coach,No as per me,2021-12-20T07:48:56Z,0,,Suggestion
Mohammadzaid Shaikh,Wasted about 50K 10 days ago. All they do is provide training certifications which hold no value. I don't know what to do now. All the money went down the drain. ;(,2021-12-17T05:44:03Z,0,1,Bad
S D,now whats your status? have u got any placement ? I am also looking for simplilearn is it bad or good,2022-02-23T14:41:54Z,0,,Question
Aniket Tayde,"Sir simplilearn ka bootcamp course hai 1.80L ka...
6L ka pakage denge bolte course completion pe guaranteed...
Karu ya naa karu...agar koi accha institute ho to please suggest...🙏🙏🙏",2021-12-14T09:23:15Z,1,0,Help
Gladiator maximus,"0.40 and I subscribed the channel , I dont want to explore Quora all day for my answers",2021-12-14T03:01:26Z,0,0,Appreciated
aamod dar,Sir I will share my past experience gv me sometime.,2021-12-06T11:43:10Z,0,0,Confused
Mahadev Gaming,Sir job oriented data analyst course kahan se theek rahega if u can recommend,2021-12-01T18:47:16Z,0,0,Help
Ar hc,Sir please start teaching data science tools. That will solve a lot problems for guys who can't afford huge course fee to join any Institute.,2021-11-29T06:46:12Z,6,0,Suggestion
Mukesh Kumar,Please suggest authentic centre to learn with job guarantee,2021-11-27T11:40:36Z,0,0,Help
Ankit Singh,"Aapnay eay to bata diya mat join karo, but please suggest Institute Jobgranted",2021-11-21T15:54:50Z,0,0,Help
Siddhi Patil,Sir please give me skillslash course review ? I realty require job guaranteed course,2021-11-20T15:04:56Z,0,0,Help
Gaowala,"Life time bhi hai,,, its good learning in budget for me###",2021-11-15T15:45:59Z,0,0,Appreciated
Thankyou😇,"Which is the best online platform to learn data science? 
Pls reply...",2021-11-12T08:54:19Z,5,0,Help
Pranav kr. Gupta,Sir dre is board infinity... and they r giving job guarantee for data science course... so should i join or not???,2021-11-08T15:02:54Z,0,0,Help
Muhammad Saad,"Sir beside of jobs, Is Simplilearn a good option from learning aspects?
I mean it is totally based on practical, hands-on learning & real-life Data Science projects etc...
And what about edureak ?",2021-10-29T13:18:35Z,3,4,Question
Kp Kumawat,"Hey, i am going to purchase edureka's data science with python. Can you please give me some reviews about that ?",2022-05-18T13:05:22Z,1,,Question
Rohit Sarade,Tumne kiya tha kya,2022-03-11T09:18:51Z,0,,
PAVITRA BIBLE,Thanks.,2021-11-26T19:50:38Z,0,,Appreciated
Data Science Career Coach,No,2021-10-29T14:25:47Z,2,,Bad
Omprakash Prasad,mai bhog chuka hu .faculty sahi nhi hai ..and refind bhi nhi deta hai..mere pure paise waste hue hai...,2021-10-24T17:20:01Z,1,1,Suggestion
Muhammad Saad,Could you please share the details?,2021-10-30T11:35:18Z,0,,
Simba ~ SG,Never join this simplilearn training coz this are all a scamsters.,2021-10-23T02:47:02Z,1,0,Suggestion
King Kumar,Thank you sir for your review but please guide elaborately which one to join....,2021-10-07T12:45:31Z,0,0,Appreciated
azmat khan,"Career X
Panasonic 
3g digits60
Innodatatics Panasonic innovation
Applied ai 
Spring boat",2021-09-28T21:29:05Z,1,0,Help
Yash Gupta,Koi please batao ke job gaurantee wale course konsi web site or konsi company de rhi hai?,2021-09-28T05:39:32Z,0,0,Question
Agnivesh Kumar,Thank you SO MUCH!!!!,2021-09-26T00:58:16Z,0,0,Appreciated
gurpreet singh,Please share your contact no.,2021-09-23T16:09:05Z,0,0,Question
Rohit Kumar,Thanks for saving. I was going to enroll Simplilearn Business analyst program. Just watched your review. Thanks,2021-09-19T06:58:41Z,25,2,Appreciated
Vishnu A,Bro did u find any other way to learn BA ?? If u find something please let me know I want to start a BA course.,2021-12-24T00:40:42Z,2,,
RAHUL KUMAR,"Sir Abhi Simplilearn Full Stack Java development course laye hai. Jisme Job Gaurantee hai. 
This is good or not ? Please tell me sir 🙏🙏🙏",2021-09-18T12:30:05Z,0,1,Question
Data Science Career Coach,Nope as per me,2021-09-18T12:51:46Z,0,,
Anshumalin Rout,How is the PGP course at simplilearn ?,2021-09-16T12:38:44Z,0,0,Question
dost,Point to point baat ....🙏🙏🙏,2021-09-15T16:01:50Z,0,0,Emotions
Naveen Kumar Maurya,Sir imarticus learning ka review dijiye,2021-09-09T16:02:04Z,0,1,Question
Data Science Career Coach,Already bana hai mere bhai,2021-09-09T16:04:06Z,0,,
Mukesh Kumar,Sir please suggest best institute for cybersecurity  ......please reply,2021-09-05T16:35:43Z,0,1,Question
Data Science Career Coach,No idea my dear aby this,2021-09-05T17:15:32Z,0,,
Argha Sarkar,Thank you sir..great video.,2021-09-04T14:24:39Z,2,0,Appreciated
MITESH KUMAR,SIR ODIN SCHOOL KA REVIEW,2021-09-04T02:45:57Z,0,0,Question
Rakesh Jadhav,I enrolled for Master of Data Analyst with Simplilearn.. for abt 39k.. My batch has yet nt started. Other institutions were charging me 100000+ for the same course. My only point behind doing so is Certificate. Coz Currently I am not working.. and looking to switch my career path.,2021-09-03T18:27:31Z,0,5,Help
Alka kumari,I also want to know,2022-03-19T08:48:08Z,0,,
S D,hi got any placement through simplelearn,2022-02-23T14:38:35Z,0,,
shubham yadav,"Hi Rakesh , have you get benefitted by course on simpliearn",2021-12-28T06:27:56Z,0,,
Lakshmi kanth,@Kumpatla Krishna Vamsi bro did you enrolled in simplylearn??,2021-10-28T19:49:21Z,0,,
Kumpatla Krishna Vamsi,"Bro, how is the course in simplilearn bro and is it giving any job assurance? I want to enroll in it.",2021-10-08T10:02:38Z,0,,
Vinay Verma,"I m 15 years exp in Telecom industry, is Apllied AI course relevant for me...plz reply.",2021-08-26T11:25:07Z,0,0,Question
Vinay Verma,Applied AI course ke baare main review kijiye sir...,2021-08-26T11:22:12Z,0,0,Question
jeevanjeet pradhan,"Mene kiya he data sc ka, bahat aacha course he. Life time access v sahi he. Fir 40000 me 8 courses de rahe he.",2021-08-26T06:11:04Z,0,3,Suggestion
S D,@jeevanjeet pradhan yes thank u,2022-02-23T15:24:08Z,0,,
jeevanjeet pradhan,"@S D guarantee to nehi he, par iim ka placement portal ka access de rahe he. Mujhe job nehi karni thi, to me try nehi kiya, aap karlo. Par experience bahat hi aacha tha",2022-02-23T15:19:24Z,0,,
S D,placements??,2022-02-23T14:41:03Z,0,,
Snehal Birje,sir plz review about simplilearn master program in business analyst,2021-08-22T15:35:21Z,0,3,Question
Rohit Sarade,@Arnav Rana bhai aapne kiya hai kya ?,2022-03-11T09:24:09Z,0,,
Arnav Rana,@Data Science Career Coach sir aapko bakwas kyu lga usme to sab cheez cover hain and acha konsa h aap hi bta dijiye,2021-10-14T08:59:50Z,0,,
Data Science Career Coach,Bakwas se bhi bakwas hai my dear,2021-08-22T16:06:01Z,0,,
Tousif Shaikh,How is pro school for online business analysts course?,2021-08-22T11:28:30Z,0,0,Question
Tousif Shaikh,"Sir, can you please suggest then from where should we pursue “ business Analysts “ online with 100% job placement?",2021-08-22T11:27:16Z,4,4,Question
Prodi G,"@Shashi Saini it's like hitting six in last ball, so it totally depends on you dear ❤️",2021-12-27T09:34:30Z,1,,
Shashi Saini,@Prodi G are you sure....,2021-12-27T09:12:39Z,1,,
Prodi G,"They will provide, but at the end it depends on skills",2021-12-16T14:09:56Z,3,,
ashim datta,No one will provide with the job..yes if u want to learn then u can learn from anywhere,2021-10-12T02:09:43Z,2,,
Prashant Vartak,How valuable is the msc data science course in nmims. ?,2021-08-20T19:07:15Z,0,0,Question
Swarnav Deb,I saved myself a fortune... I was about to take the program few months back...,2021-08-19T05:07:47Z,0,0,Appreciated
venkat,one of the poor review...simply he is indirectly marketing for some one,2021-08-17T07:26:48Z,0,0,Bad
Siddhant Raj,"How is the content and teaching methods of simplilearn  ? I want to learn and get certified , job hai mere pass , m interested in there tech masters program which has 8 certifications in 50k",2021-08-14T05:50:52Z,0,10,Question
Chirag Tyagi,@Naveen Hiremath i did enroll  in their Master of Master course.,2021-12-16T17:57:23Z,0,,
Naveen Hiremath,"@Siddhant Raj Hi , have you taken the course",2021-12-16T16:01:21Z,0,,
Naveen Hiremath,@Chirag Tyagi have you got anything ?,2021-12-16T16:00:55Z,0,,
Siddhant Raj,@Chirag Tyagi sure pls do ur research,2021-08-18T03:19:09Z,0,,
Chirag Tyagi,Do you know someone who has benefitted from simplilearn's certificates? That might give us an idea about the worth of the certificates!,2021-08-18T03:16:29Z,0,,
Chirag Tyagi,"You will get 8 certificates only if you complete all the courses in the given timeframe.
Plus we don't know how valuable simplilearn's certificates are there in the industry.
Moreover if you are in development profile , not all 8 courses would align to your profile. These are fee factors I am thinking before I enroll for this course",2021-08-18T03:15:44Z,0,,
Siddhant Raj,@Chirag Tyagi I don't think so you are getting 8 certifications in that fees,2021-08-18T03:05:18Z,0,,
Chirag Tyagi,@Siddhant Raj- yes it does sounds interesting but I still feel fee is somewhat on higher side.,2021-08-18T03:01:10Z,0,,
Siddhant Raj,@Chirag Tyagi I haven't but I will course sounds interesting,2021-08-18T02:48:49Z,1,,
Chirag Tyagi,"Hi Siddhant, did you enroll in this course? I am also planning to enroll in this course!",2021-08-18T02:40:14Z,0,,
Hameed ma,Thanks for your honest review on each topic,2021-08-09T20:24:08Z,2,0,Appreciated
Honey devaang,sir aj ki date me btaye ki simplilearn ya upGrad dono me se kya better hai?? agar apke bhai ko foreign me settle hona ho to kya best hai??,2021-08-09T04:59:13Z,0,0,Question
Alok Kumar,"Sir I want to join
Data Science which institute is best for gurranted jobs??
Please sir",2021-08-05T18:03:56Z,0,0,Question
Sai Kiran,Pls review that  is right or worng,2021-08-02T14:10:40Z,0,0,Question
Sai Kiran,Sir I want to join geek lurn for data science architect program,2021-08-02T14:09:49Z,0,0,Help
Urmi Gori,I want to learn data science and need useful resources that could help me throughout the journey. Can you please recommend something?,2021-07-31T14:34:09Z,0,0,Question
Cha Ndu,TQ so much 💜,2021-07-31T07:02:26Z,1,0,Appreciated
Simran Avtani,Sir please bataye data science course m Excel advance learn krna zruri h kya?aur 360digitmg better h na simpli learn se please reply sir,2021-07-29T08:35:14Z,0,0,Help
Dhanashree Ambekar,I have contacted to most of the online training companies it is very difficult to select which is better because all they talk the same but no one gives job guarantee. They will provide job assistance anly.,2021-07-26T12:31:55Z,0,0,Question
Pin2,"Please Sir....( I have Confusion)

i would like know  that there is only one course for data scientist and  data analyst that is different.....

Even we study from University/college or YouTube then....",2021-07-23T16:01:58Z,0,0,Confused
kholiwaleterijai,Sir Simplilearn Hindi language mai nhi h kya,2021-07-22T05:52:12Z,0,0,Question
Alpha trooper14,Thank you so much <3,2021-07-21T19:35:04Z,2,0,Appreciated
Happy Hours !!,Kindly give me your number.i want to talk about data science courses sir,2021-07-20T02:07:39Z,0,0,Question
Dinesh Chavan,"Sir pls review dedo Datatrained academy ka kauki mai mera career change kar raha hu  private teacher se data scientist . Mera life la sawal hai pls pls
I am so frustrated in my life",2021-07-18T14:32:39Z,0,0,Question
Praveen Kumar,Kaha se kare ye to batye sir koi Name to batao,2021-07-18T11:41:59Z,0,0,Appreciated
Amol ghanekar,Sir this is Amol here.  Pls sir I want to talk to you.  Needes your guidance.  Pls share your num or insta id.,2021-07-17T21:26:17Z,0,0,Question
Mukul singh,Sir avi simplelearn 100 presentt job provide kar rhe hai kya isko join karna sahi hai sir plzzz mujhe btayiye..,2021-07-08T11:09:36Z,0,0,Question
Gaurav Tejwani,I want to like this video twice let's request @YouTube,2021-07-02T19:46:35Z,0,0,Appreciated
14K Bhupendra Kumar,Sir DECODR TECHNOLOGIES kaisa rahega as mujhe data scientist ka course Krna hai..plz help,2021-07-01T10:45:24Z,0,0,Help
Somresh Nanda,Sir best institute for data analysis course...for getting job,2021-06-27T15:43:14Z,1,0,Question
Siddhartha Khatri,Bahut umdaaa 🙏🏻👏👏👏,2021-06-27T09:38:42Z,0,0,Appreciated
ASHUTOSH GUPTA,Sir simplilearn data science with python course is worth full? Will it give job? Plzz reply or make one video?,2021-06-24T19:15:35Z,0,0,Question
Arun Kumar,"Sir, i want to talk to you, please sir mai data science program krna chahta hu. Kuch samajh nhi aarha hai kha karu. Please sir i want to talk to you on call",2021-06-22T12:31:29Z,0,0,Question
Tanmoy Das,"Sir, job guaranted wala training center koi  hai appke hisab se?? And sir, Mai ek arts background honours graduate, kya mujhe data analysis course karke Faida hoga??",2021-06-20T07:21:15Z,0,0,Question
Marco Fernandes,is it English?,2021-06-17T02:28:46Z,0,0,Question
Ayush Singh,Review for itvedant sir.,2021-06-15T18:08:51Z,0,0,Appreciated
Ansh Arora,"Sir, please Don't stop this work a big thanks to you",2021-06-11T17:48:14Z,2,0,Appreciated
Ansh Arora,"Thank you so much sir I belong to a lower-middle-class family you saved me 50 thousand rupees I don't have words to thank you.
I was going to pay for the data analytics course from Simplilearn but you saved me.",2021-06-11T17:44:32Z,16,5,Appreciated
Atul Arora,"Tune ye to boldiya jhandis ki 50k bacha liye... Muje batayega 1 saal ke baad bhi tune koi course join Kiya ki nahi



Ek review mai deta hu.... Course era aur Udemy me sirf beginners ke liye courses hai.... Ab aap log decide kar lena... Kaise pata maine Data Analyst ka saara course download Kiya hai .... Paid. Ourse from course era",2022-06-15T02:02:13Z,0,,Suggestion
Nikhil Kumar,Give me good alternative...,2022-04-14T12:40:25Z,0,,Question
Tarun Kanth,You got any better alternative ?,2021-08-15T18:06:27Z,0,,Question
sonali sinha,Did you applied for Data Analytics,2021-07-29T15:31:52Z,0,,Question
Shivam 4you,Ansh bhai DM me,2021-07-27T18:22:55Z,0,,Help
Shubham Agarwal,Great knowledge,2021-06-08T19:42:31Z,0,0,Appreciated
Rajdeep Deb,"You should give a straight away review rather than gossiping around it.

There are many platforms and course sites that offer sealed certifications on data analytics and big data and data science etc but WHAT MATTERS THE MOST IS KNOWLEDGE AND NOT A CERTIFICATION. 

The recruiters or company HR knows there are many courses over the internet and anybody with a smartphone can do certifications. But finally in the interview if they ask u one core question and u sit their awestuck than there is no point of such bunch of certifications.

Talking about simplilearn, it's a good platform to learn about the above subjects however u need to first ask the coordinator to send u the detailed content and some sample videos of their lecturers giving lectures. After that yu can decide whether to join or not.

Often lectures by desi guys in English doesn't make tat impact which a British accent does. However it's just a point.",2021-06-04T20:05:10Z,4,0,Suggestion
Deepak Prajapati,"Please dont join this course at all , faculty are just reading ppt and nothing more then that , better option you should learn your self from google",2021-06-04T11:18:03Z,1,0,Suggestion
prakash Kunder,"Sir, accordingly to you which good institute to join for middle class guy for data scientist",2021-05-27T12:26:28Z,5,1,Question
Rubi Khan,Code with harry,2021-07-19T10:08:51Z,2,,Suggestion
Raju Kumar Gupta,The advertisement talk perfectly fits on BYJUS.,2021-05-27T06:27:58Z,8,0,Suggestion
Kushal Joshi,Thanks a lot Sir for this video... Sir how is Newton's school.. they teach for free and when we get a job we need to pay them 2.5lacs..approx,2021-05-22T12:55:41Z,4,0,Appreciated
Sarab Kaur,Sir how can I contact u on whatsapp,2021-05-20T10:10:29Z,1,0,Question
